TEAM,SEASN
Miami Heat,'10-11'
Dallas Mavericks,'10-11'
Oklahoma City Thunder,'11-12'
Miami Heat,'11-12'
Miami Heat,'12-13'
San Antonio Spurs,'12-13'
San Antonio Spurs,'13-14'
Miami Heat,'13-14'
Golden State Warriors,'14-15'
Cleveland Cavaliers,'14-15'
Golden State Warriors,'15-16'
Cleveland Cavaliers,'15-16'
Golden State Warriors,'16-17'
Cleveland Cavaliers,'16-17'
Golden State Warriors,'17-18'
Cleveland Cavaliers,'17-18'
Toronto Raptors,'18-19'
Golden State Warriors,'18-19'
Los Angeles Lakers,'19-20'
